då		then	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
plugga	(-r, -de, -t)	study	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
studera	(-r, -de, -t)	study	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
design	(-en)	design	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
pensionär	(-en, -er, -erna)	retiree, pensioner	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
jobba	(-r, -de, -t)	work	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
ja		yes	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
med		with	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
barn	(-et, –, -en)	children	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
förskola	(-n, -or, -orna)	preschool	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
nu		now	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
söka	(-er, -te, -t)	seek, look for	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
jobb	(-et, –, -en)	job	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
restaurang	(-en, -er, -erna)	restaurant	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
lycka till		good luck	Sidan 12	Kapitel 1	Kapitel1 RivstartA1A2
negation	(-en, -er, -erna)	negation	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
mening	(-en, -ar, -arna)	sentence	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
Ukraina		Ukraine	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
portugisiska		Portuguese	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
filosofi	(-n)	philosophy	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
psykologi	(-n)	psychology	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
yrke	(-t, -n, -na)	profession	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
IT-företag	(-et, –, -en)	IT company	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
bank	(-en, -er, -erna)	bank	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
IT IT		information technology	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
ekonomi	(-n)	accounts, economics	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
programmerare	(-n, –, programmerarna)	programmer	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
ekonom	(-en, -er, -erna)	accountant	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
förskolelärare	(-n, –, -förskolelärarna)	preschool teacher	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
programmering	(-en, -ar, -arna)	programming	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
studera till		study to be	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
till		to	Sidan 13	Kapitel 1	Kapitel1 RivstartA1A2
höra	(hör, hörde, hört)	hear	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
kryssa(-r, -de, -t)för		tick, cross	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
rätt alternativ		correct answer, correct option	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
rätt	(-a)	correct, right	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
alternativ	(-et, –, -en)	option, answer	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
polis	(-en, -er, -erna)	policeman/woman	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
biolog	(-en, -er, -erna)	biologist	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
kemist	(-en, -en, -erna)	chemist	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
gift	(–, -a)	married	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
sambo	(-n, -r, -rna)	live-in partner	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
singel		ingle	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
min	(mitt, mina)	my	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
man	(-nen, män, männen)	husband	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
schweizare	(-n, –, schweizarna)	Swiss	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
men		but	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
två		two	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
en		one	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
son	(-en, söner, sönerna)	son	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
dotter	(-n, döttrar, döttrarna)	daughter	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
svensk	(-t, -a)	Swedish	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
också		also too	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
flickvän	(-nen, -ner, -nerna)	girlfriend	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
bo	(-r, bodde, bott)	live	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
bo ihop		live together	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
toppen		super great	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
par	(-et, –, -en)	couple	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
Sverige		Sweden	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
skilja	(-er, skilde, skilt)	divorce	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
samma		same	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
år	(-et, –, -en)	year	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
kvinna	(-n, -or, -orna)	woman	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
sedan		since	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
källa	(-n, -or, -orna)	source	Sidan 14	Kapitel 1	Kapitel1 RivstartA1A2
skild	(skilt, skilda)	divorced	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
separerad	(separerat, separerade)	separated	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
tjej	(-en, -er, -erna)	girlfriend	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
pojkvän	(-nen, -ner, -nerna)	boyfriend	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
kille	(-n, -ar, -arna)	boyfriend	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
fru	(-n, -ar, -arna)	wife	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
pojke	(-n, -ar, -arna)	boy	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
flicka	(-n, -or, orna)	girl	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
Ja		det är jag. Yes, I am.	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
bonusbarn	(-et, –, -en)	stepchild	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
tre		three	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
person	(-en, -er, -erna)	person	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
text	(-en, -er, -erna)	text	Sidan 15	Kapitel 1	Kapitel1 RivstartA1A2
generell	(-t, -a)	general	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
stryka	(stryker, strök, strukit)	under underline	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
England		England	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
universitet	(-et, –, -en)	university	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
extra		extra	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
nära		near close to	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
sortera	(-r, -de, -t)	sort, organize	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
matematik	(-en)	mathematics	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
lätt	(-a)	easy	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
form	(-en, -er, -erna)	form, conjugation	Sidan 16	Kapitel 1	Kapitel1 RivstartA1A2
alfabet	(-et, –,-en)	alphabet	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
efternamn	(-et, –, -en)	last name, surname, family name	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
stava	(-r, -de, -t)	spell	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
annan	(annat, andra)	another	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
använda	(-er, använde, använt)	use	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
som		as	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
tyska		German	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
forska	(-r, -de, -t)	do research	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
institut	(-et, –, -en)	institute	Sidan 17	Kapitel 1	Kapitel1 RivstartA1A2
Tjena		Hi!	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Hur mår du		How are you?	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
må	(mår, mådde, mått)	feel	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
bara bra		"I'm fine, well"	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
bra fine		well	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
tack		thank you	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Jo tack.		Thanks (for asking)	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Det är bra.		"I'm fine."	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Hur är läget		"How are things?, How's it going?"	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
läge	(-t, -n, -na)	situation	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Det är lugnt.		Great, Okay	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
lugn	(-t, -a)	cool, calm	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
Själv		How about you?, And you?	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
