vilken (prounoun)	vilken	prounoun		<ul><li>who, which</li><li>which</li><li>what (in exclamations)</li></ul>	jag vet inte vilka som simmar bäst	I don&#39;t know who are the best swimmers	Kapitel_1 Rivstart_A1_A2
ny (adjective)	ny	adjective		<ul><li>new</li></ul>			Kapitel_2 Rivstart_A1_A2
vid (preposition)	vid	preposition		<ul><li>at (gives (approximate) spatial position)</li><li>at, about</li><li>to</li></ul>	anställd vid xxxx	employed at xxxx	Kapitel_3 Rivstart_A1_A2
vid (adjective)	vid	adjective		<ul><li>wide</li></ul>			Kapitel_3 Rivstart_A1_A2
än (conjunction)	än	conjunction		<ul><li>than (in comparisons)</li></ul>	i mer än tretti år	for more than thirty years	Kapitel_12 Rivstart_A1_A2
än (adverb)	än	adverb		<ul><li>yet, still</li><li>ever</li></ul>	än i dag	even today	Kapitel_12 Rivstart_A1_A2
ingen (prounoun)	ingen	prounoun		<ul><li>no one, none, nobody, nothing, noone</li></ul>	jag har inga pengar	I have no money	Kaptiel_7 Rivstart_A1_A2
efter (preposition)	efter	preposition		<ul><li>after, later</li><li>for</li></ul>	han kom efter det att festen hade börjat		Kapitel_3 Rivstart_A1_A2
efter (adverb)	efter	adverb		<ul><li>after, next, following</li></ul>	tänka efter	consider, reflect, think	Kapitel_3 Rivstart_A1_A2
upp (adverb)	upp	adverb		<ul><li>up, towards a higher position, upwards</li><li>up, to a standing (erect) position (from a recumbent position)</li><li>up, in a higher position</li><li>open</li><li>up, until something is finished</li><li>up</li></ul>	klättra upp i ett träd	climb (up) a tree	Kapitel_2 Rivstart_A1_A2
hon (prounoun)	hon	prounoun		<ul><li>she (indicates a female individual)</li></ul>	jag såg henne	I saw her	Kapitel_1 Rivstart_A1_A2
lite (adverb)	lite	adverb		<ul><li>slightly, little</li></ul>	lite mer ost	a bit more cheese	Kapitel_2 Rivstart_A1_A2
över (preposition)	över	preposition		<ul><li>above (of spatial position)</li><li>over (of the spread of something)</li><li>across (figuratively also of time)</li><li>by (way of)</li><li>over, above (of higher authority or dominant position)</li><li>about, over</li></ul>	nyckeln hänger över dörren	the key is hanging above the door	Kapitel_3 Rivstart_A1_A2
över (adverb)	över	adverb		<ul><li>over (direction to the other side of something)</li><li>over, more than</li><li>left</li><li>over, past</li><li>over</li></ul>	hoppa över en häck	jump over a fence	Kapitel_3 Rivstart_A1_A2
ge (verb)	ge	verb	att	<ul><li>give (in a general sense, &quot;present, produce&quot;), to present (as a gift or payment), to hand over</li></ul>	ge ett exempel	give an example	Kapitel_6 Rivstart_A1_A2
vår (prounoun)	vår	prounoun		<ul><li>our</li></ul>	vårt eget modersmål	our own mother tongue	Kapitel_6 Rivstart_A1_A2
vår (noun)	vår	noun	en	<ul><li>spring</li></ul>			Kapitel_6 Rivstart_A1_A2
här (adverb)	här	adverb		<ul><li>here, at this point, with me</li></ul>	stanna här!	stop here!	Kapitel_1 Rivstart_A1_A2
skriva (verb)	skriva	verb	att	<ul><li>write</li></ul>	barnen lär sig skriva i skolan	children learn to write at school	Kapitel_1 Rivstart_A1_A2
tid (noun)	tid	noun	en	<ul><li>time (also used of a certain period)</li></ul>	en lång tid framöver	a long time to come	Kapitel_3 Rivstart_A1_A2
sedan (adverb)	sedan	adverb		<ul><li>then, afterwards, later</li></ul>	först åt vi och sedan gick vi ut	we had lunch first, then we went out	Kapitel_1 Rivstart_A1_A2
sedan (preposition)	sedan	preposition		<ul><li>since</li></ul>	det har hänt mycket sedan 1968	a lot has happened since 1968	Kapitel_1 Rivstart_A1_A2
